,Happiness,spent_on_MATA,spent_on_Bills,spent_on_TSA,spent_on_EXPA
206,7.0,90.0,550.0,0.0,0.0
207,6.0,70.0,550.0,50.0,50.0
208,7.0,0.0,450.0,0.0,90.0
209,7.0,350.0,550.0,70.0,250.0
210,8.0,70.0,550.0,70.0,0.0
211,7.0,250.0,750.0,0.0,0.0
212,6.0,150.0,90.0,0.0,250.0
213,10.0,250.0,250.0,150.0,250.0
214,5.0,30.0,70.0,30.0,150.0
215,5.0,90.0,850.0,30.0,250.0
216,3.0,250.0,950.0,0.0,0.0
217,6.0,70.0,70.0,0.0,70.0
218,8.0,0.0,150.0,0.0,0.0
219,1.0,150.0,150.0,70.0,250.0
220,5.0,30.0,550.0,0.0,
221,3.0,150.0,650.0,0.0,250.0
222,7.0,250.0,550.0,50.0,350.0
223,6.0,350.0,550.0,0.0,250.0
224,4.0,50.0,10.0,10.0,30.0
225,5.0,50.0,950.0,0.0,0.0
226,5.0,50.0,550.0,0.0,0.0
227,6.0,90.0,650.0,30.0,90.0
228,7.0,950.0,850.0,850.0,950.0
229,7.0,250.0,650.0,350.0,250.0
230,2.0,350.0,650.0,90.0,250.0
231,5.0,50.0,150.0,30.0,90.0
232,6.0,70.0,90.0,50.0,70.0
233,4.0,450.0,550.0,0.0,550.0
234,10.0,90.0,150.0,30.0,70.0
235,6.0,0.0,250.0,0.0,0.0
236,4.0,50.0,550.0,10.0,30.0
237,5.0,70.0,90.0,0.0,350.0
238,6.0,0.0,750.0,0.0,0.0
239,8.0,70.0,50.0,70.0,70.0
240,6.0,50.0,90.0,10.0,0.0
241,6.0,30.0,90.0,50.0,50.0
242,8.0,250.0,1000.0,50.0,250.0
243,7.0,150.0,750.0,150.0,250.0
244,,0.0,,0.0,0.0
245,6.0,350.0,1000.0,0.0,350.0
246,7.0,150.0,650.0,150.0,250.0
247,4.0,70.0,50.0,30.0,30.0
248,6.0,30.0,150.0,10.0,0.0
249,4.0,70.0,550.0,0.0,0.0
250,10.0,1000.0,550.0,950.0,550.0
251,5.0,50.0,450.0,0.0,0.0
252,7.0,0.0,750.0,150.0,0.0
253,7.0,0.0,,0.0,0.0
254,10.0,550.0,850.0,250.0,350.0
255,7.0,0.0,750.0,0.0,250.0
256,7.0,250.0,90.0,750.0,350.0
257,7.0,50.0,90.0,50.0,50.0
258,7.0,70.0,250.0,0.0,0.0
259,7.0,150.0,550.0,0.0,250.0
260,8.0,50.0,30.0,0.0,0.0
261,5.0,70.0,150.0,0.0,0.0
262,8.0,70.0,150.0,0.0,450.0
263,10.0,650.0,550.0,150.0,0.0
264,6.0,50.0,70.0,150.0,0.0
265,6.0,50.0,550.0,0.0,0.0
266,7.0,30.0,350.0,0.0,0.0
267,6.0,0.0,150.0,0.0,0.0
268,5.0,70.0,650.0,30.0,250.0
269,6.0,90.0,350.0,90.0,0.0
270,7.0,250.0,250.0,0.0,250.0
271,4.0,0.0,650.0,0.0,0.0
272,7.0,0.0,750.0,0.0,0.0
273,5.0,450.0,550.0,750.0,250.0
274,9.0,350.0,550.0,150.0,350.0
275,7.0,70.0,450.0,0.0,90.0
276,8.0,250.0,950.0,0.0,0.0
277,8.0,850.0,1000.0,0.0,1000.0
278,2.0,0.0,30.0,0.0,0.0
279,5.0,70.0,550.0,0.0,0.0
280,7.0,150.0,750.0,0.0,350.0
281,8.0,0.0,650.0,50.0,0.0
282,5.0,0.0,750.0,0.0,0.0
283,7.0,0.0,50.0,0.0,0.0
284,7.0,350.0,850.0,650.0,250.0
285,7.0,250.0,50.0,90.0,250.0
286,10.0,,1000.0,1000.0,450.0
287,6.0,0.0,650.0,0.0,0.0
